message,label
Your account has been suspended. Verify your login details immediately to restore access.,Spam
Update your bank account credentials to avoid service interruption.,Spam
Your Netflix password will expire today. Click the link below to renew.,Spam
Get 70% off on branded shoes. Visit our site before midnight!,Spam
Invest ₹5000 today and earn ₹50000 guaranteed in 7 days!,Spam
Amazon package on hold! Confirm your address by clicking this link.,Spam
Amazon package on hold! Confirm your address by clicking this link.,Spam
Security alert! Someone tried to log into your email. Confirm your password to secure your account.,Spam
Security alert! Someone tried to log into your email. Confirm your password to secure your account.,Spam
URGENT: Your ATM card will be blocked today. Verify details now.,Spam
Get instant loan approval without documents. Apply now!,Spam
Your bank account is under review. Enter your PIN to continue using it.,Spam
We detected unusual activity in your email. Reset your password at this link.,Spam
Double your money in 3 days! Invest ₹10000 now and earn ₹20000,Spam
Exclusive Maldives holiday package — 80% off. Book today only!,Spam
Flat 90% discount on branded watches. Limited stocks. Buy now!,Spam
Your credit card reward points are expiring. Redeem instantly here.,Spam
Job alert: Work from home and earn ₹50000 per month. No skills required,Spam
Your shipment is on hold. Pay ₹200 to release your package,Spam
Government relief fund available. Share Aadhaar number to claim.,Spam
Play online games and earn ₹5000 daily. Sign up today!,Spam
Your PayPal account has been compromised. Click to secure it.,Spam
You are KBC winner send details,Spam
You are KBC winner send details,Spam
"Your bank account will be blocked. Check here immediately.",Spam
"Your account will be closed unless you confirm immediately.",Spam
"Earn ₹50,000 per month by investing today.",Spam
"Your KYC is not complete, update now.",Spam
"Tax refund has come on your PAN card, open the link.",Spam
"Golden opportunity to earn money sitting at home, join now.",Spam
"Your SIM will be locked tonight, confirm immediately.",Spam
"You got ₹25 lakh prize, send details.",Spam
"Today's Special Offer - Get Free Recharge.",Spam
"Your PAN card has received a tax refund, open the link.",Spam
"Opportunity to make money from home, join now.",Spam
"Free recharge offer hai, click link fast.",Spam
"KYC pending hai, update immediately.",Spam
"Mee KYC incomplete undi, update cheyyandi.",Spam
“Congratulazioni! Your account will be blocked.”,Spam
